,Data,Database,RDBMS,Entity,Field,Record,Relationship,Primary_Key,Foreign_Key,ERD,Dependent_Table,Associative_Table,Entity_Integrity,Referential_Integrity,1NF,2NF,SQL,One-to-One_Relationship,One-to-Many_Relationship,Many-to-Many_Relationship,Recursive_Relationship,Supertype_Entity,Subtype_Entity,Disjoint_Rule,Overlap_Rule,Ternary_Relationship,ACID
Dependent_Table,"('Data', 'Dependent_Table')","('Database', 'Dependent_Table')","('RDBMS', 'Dependent_Table')","('Entity', 'Dependent_Table')","('Field', 'Dependent_Table')","('Record', 'Dependent_Table')","('Relationship', 'Dependent_Table')","('Primary_Key', 'Dependent_Table')","('Foreign_Key', 'Dependent_Table')","('ERD', 'Dependent_Table')","('Dependent_Table', 'Dependent_Table')","('Associative_Table', 'Dependent_Table')","('Entity_Integrity', 'Dependent_Table')","('Referential_Integrity', 'Dependent_Table')","('1NF', 'Dependent_Table')","('2NF', 'Dependent_Table')","('SQL', 'Dependent_Table')","('One-to-One_Relationship', 'Dependent_Table')","('One-to-Many_Relationship', 'Dependent_Table')","('Many-to-Many_Relationship', 'Dependent_Table')","('Recursive_Relationship', 'Dependent_Table')","('Supertype_Entity', 'Dependent_Table')","('Subtype_Entity', 'Dependent_Table')","('Disjoint_Rule', 'Dependent_Table')","('Overlap_Rule', 'Dependent_Table')","('Ternary_Relationship', 'Dependent_Table')","('ACID', 'Dependent_Table')"
Associative_Table,"('Data', 'Associative_Table')","('Database', 'Associative_Table')","('RDBMS', 'Associative_Table')","('Entity', 'Associative_Table')","('Field', 'Associative_Table')","('Record', 'Associative_Table')","('Relationship', 'Associative_Table')","('Primary_Key', 'Associative_Table')","('Foreign_Key', 'Associative_Table')","('ERD', 'Associative_Table')","('Dependent_Table', 'Associative_Table')","('Associative_Table', 'Associative_Table')","('Entity_Integrity', 'Associative_Table')","('Referential_Integrity', 'Associative_Table')","('1NF', 'Associative_Table')","('2NF', 'Associative_Table')","('SQL', 'Associative_Table')","('One-to-One_Relationship', 'Associative_Table')","('One-to-Many_Relationship', 'Associative_Table')","('Many-to-Many_Relationship', 'Associative_Table')","('Recursive_Relationship', 'Associative_Table')","('Supertype_Entity', 'Associative_Table')","('Subtype_Entity', 'Associative_Table')","('Disjoint_Rule', 'Associative_Table')","('Overlap_Rule', 'Associative_Table')","('Ternary_Relationship', 'Associative_Table')","('ACID', 'Associative_Table')"
Entity_Integrity,"('Data', 'Entity_Integrity')","('Database', 'Entity_Integrity')","('RDBMS', 'Entity_Integrity')","('Entity', 'Entity_Integrity')","('Field', 'Entity_Integrity')","('Record', 'Entity_Integrity')","('Relationship', 'Entity_Integrity')","('Primary_Key', 'Entity_Integrity')","('Foreign_Key', 'Entity_Integrity')","('ERD', 'Entity_Integrity')","('Dependent_Table', 'Entity_Integrity')","('Associative_Table', 'Entity_Integrity')","('Entity_Integrity', 'Entity_Integrity')","('Referential_Integrity', 'Entity_Integrity')","('1NF', 'Entity_Integrity')","('2NF', 'Entity_Integrity')","('SQL', 'Entity_Integrity')","('One-to-One_Relationship', 'Entity_Integrity')","('One-to-Many_Relationship', 'Entity_Integrity')","('Many-to-Many_Relationship', 'Entity_Integrity')","('Recursive_Relationship', 'Entity_Integrity')","('Supertype_Entity', 'Entity_Integrity')","('Subtype_Entity', 'Entity_Integrity')","('Disjoint_Rule', 'Entity_Integrity')","('Overlap_Rule', 'Entity_Integrity')","('Ternary_Relationship', 'Entity_Integrity')","('ACID', 'Entity_Integrity')"
Referential_Integrity,"('Data', 'Referential_Integrity')","('Database', 'Referential_Integrity')","('RDBMS', 'Referential_Integrity')","('Entity', 'Referential_Integrity')","('Field', 'Referential_Integrity')","('Record', 'Referential_Integrity')","('Relationship', 'Referential_Integrity')","('Primary_Key', 'Referential_Integrity')","('Foreign_Key', 'Referential_Integrity')","('ERD', 'Referential_Integrity')","('Dependent_Table', 'Referential_Integrity')","('Associative_Table', 'Referential_Integrity')","('Entity_Integrity', 'Referential_Integrity')","('Referential_Integrity', 'Referential_Integrity')","('1NF', 'Referential_Integrity')","('2NF', 'Referential_Integrity')","('SQL', 'Referential_Integrity')","('One-to-One_Relationship', 'Referential_Integrity')","('One-to-Many_Relationship', 'Referential_Integrity')","('Many-to-Many_Relationship', 'Referential_Integrity')","('Recursive_Relationship', 'Referential_Integrity')","('Supertype_Entity', 'Referential_Integrity')","('Subtype_Entity', 'Referential_Integrity')","('Disjoint_Rule', 'Referential_Integrity')","('Overlap_Rule', 'Referential_Integrity')","('Ternary_Relationship', 'Referential_Integrity')","('ACID', 'Referential_Integrity')"
1NF,"('Data', '1NF')","('Database', '1NF')","('RDBMS', '1NF')","('Entity', '1NF')","('Field', '1NF')","('Record', '1NF')","('Relationship', '1NF')","('Primary_Key', '1NF')","('Foreign_Key', '1NF')","('ERD', '1NF')","('Dependent_Table', '1NF')","('Associative_Table', '1NF')","('Entity_Integrity', '1NF')","('Referential_Integrity', '1NF')","('1NF', '1NF')","('2NF', '1NF')","('SQL', '1NF')","('One-to-One_Relationship', '1NF')","('One-to-Many_Relationship', '1NF')","('Many-to-Many_Relationship', '1NF')","('Recursive_Relationship', '1NF')","('Supertype_Entity', '1NF')","('Subtype_Entity', '1NF')","('Disjoint_Rule', '1NF')","('Overlap_Rule', '1NF')","('Ternary_Relationship', '1NF')","('ACID', '1NF')"
2NF,"('Data', '2NF')","('Database', '2NF')","('RDBMS', '2NF')","('Entity', '2NF')","('Field', '2NF')","('Record', '2NF')","('Relationship', '2NF')","('Primary_Key', '2NF')","('Foreign_Key', '2NF')","('ERD', '2NF')","('Dependent_Table', '2NF')","('Associative_Table', '2NF')","('Entity_Integrity', '2NF')","('Referential_Integrity', '2NF')","('1NF', '2NF')","('2NF', '2NF')","('SQL', '2NF')","('One-to-One_Relationship', '2NF')","('One-to-Many_Relationship', '2NF')","('Many-to-Many_Relationship', '2NF')","('Recursive_Relationship', '2NF')","('Supertype_Entity', '2NF')","('Subtype_Entity', '2NF')","('Disjoint_Rule', '2NF')","('Overlap_Rule', '2NF')","('Ternary_Relationship', '2NF')","('ACID', '2NF')"
SQL,"('Data', 'SQL')","('Database', 'SQL')","('RDBMS', 'SQL')","('Entity', 'SQL')","('Field', 'SQL')","('Record', 'SQL')","('Relationship', 'SQL')","('Primary_Key', 'SQL')","('Foreign_Key', 'SQL')","('ERD', 'SQL')","('Dependent_Table', 'SQL')","('Associative_Table', 'SQL')","('Entity_Integrity', 'SQL')","('Referential_Integrity', 'SQL')","('1NF', 'SQL')","('2NF', 'SQL')","('SQL', 'SQL')","('One-to-One_Relationship', 'SQL')","('One-to-Many_Relationship', 'SQL')","('Many-to-Many_Relationship', 'SQL')","('Recursive_Relationship', 'SQL')","('Supertype_Entity', 'SQL')","('Subtype_Entity', 'SQL')","('Disjoint_Rule', 'SQL')","('Overlap_Rule', 'SQL')","('Ternary_Relationship', 'SQL')","('ACID', 'SQL')"
One-to-One_Relationship,"('Data', 'One-to-One_Relationship')","('Database', 'One-to-One_Relationship')","('RDBMS', 'One-to-One_Relationship')","('Entity', 'One-to-One_Relationship')","('Field', 'One-to-One_Relationship')","('Record', 'One-to-One_Relationship')","('Relationship', 'One-to-One_Relationship')","('Primary_Key', 'One-to-One_Relationship')","('Foreign_Key', 'One-to-One_Relationship')","('ERD', 'One-to-One_Relationship')","('Dependent_Table', 'One-to-One_Relationship')","('Associative_Table', 'One-to-One_Relationship')","('Entity_Integrity', 'One-to-One_Relationship')","('Referential_Integrity', 'One-to-One_Relationship')","('1NF', 'One-to-One_Relationship')","('2NF', 'One-to-One_Relationship')","('SQL', 'One-to-One_Relationship')","('One-to-One_Relationship', 'One-to-One_Relationship')","('One-to-Many_Relationship', 'One-to-One_Relationship')","('Many-to-Many_Relationship', 'One-to-One_Relationship')","('Recursive_Relationship', 'One-to-One_Relationship')","('Supertype_Entity', 'One-to-One_Relationship')","('Subtype_Entity', 'One-to-One_Relationship')","('Disjoint_Rule', 'One-to-One_Relationship')","('Overlap_Rule', 'One-to-One_Relationship')","('Ternary_Relationship', 'One-to-One_Relationship')","('ACID', 'One-to-One_Relationship')"
One-to-Many_Relationship,"('Data', 'One-to-Many_Relationship')","('Database', 'One-to-Many_Relationship')","('RDBMS', 'One-to-Many_Relationship')","('Entity', 'One-to-Many_Relationship')","('Field', 'One-to-Many_Relationship')","('Record', 'One-to-Many_Relationship')","('Relationship', 'One-to-Many_Relationship')","('Primary_Key', 'One-to-Many_Relationship')","('Foreign_Key', 'One-to-Many_Relationship')","('ERD', 'One-to-Many_Relationship')","('Dependent_Table', 'One-to-Many_Relationship')","('Associative_Table', 'One-to-Many_Relationship')","('Entity_Integrity', 'One-to-Many_Relationship')","('Referential_Integrity', 'One-to-Many_Relationship')","('1NF', 'One-to-Many_Relationship')","('2NF', 'One-to-Many_Relationship')","('SQL', 'One-to-Many_Relationship')","('One-to-One_Relationship', 'One-to-Many_Relationship')","('One-to-Many_Relationship', 'One-to-Many_Relationship')","('Many-to-Many_Relationship', 'One-to-Many_Relationship')","('Recursive_Relationship', 'One-to-Many_Relationship')","('Supertype_Entity', 'One-to-Many_Relationship')","('Subtype_Entity', 'One-to-Many_Relationship')","('Disjoint_Rule', 'One-to-Many_Relationship')","('Overlap_Rule', 'One-to-Many_Relationship')","('Ternary_Relationship', 'One-to-Many_Relationship')","('ACID', 'One-to-Many_Relationship')"
Many-to-Many_Relationship,"('Data', 'Many-to-Many_Relationship')","('Database', 'Many-to-Many_Relationship')","('RDBMS', 'Many-to-Many_Relationship')","('Entity', 'Many-to-Many_Relationship')","('Field', 'Many-to-Many_Relationship')","('Record', 'Many-to-Many_Relationship')","('Relationship', 'Many-to-Many_Relationship')","('Primary_Key', 'Many-to-Many_Relationship')","('Foreign_Key', 'Many-to-Many_Relationship')","('ERD', 'Many-to-Many_Relationship')","('Dependent_Table', 'Many-to-Many_Relationship')","('Associative_Table', 'Many-to-Many_Relationship')","('Entity_Integrity', 'Many-to-Many_Relationship')","('Referential_Integrity', 'Many-to-Many_Relationship')","('1NF', 'Many-to-Many_Relationship')","('2NF', 'Many-to-Many_Relationship')","('SQL', 'Many-to-Many_Relationship')","('One-to-One_Relationship', 'Many-to-Many_Relationship')","('One-to-Many_Relationship', 'Many-to-Many_Relationship')","('Many-to-Many_Relationship', 'Many-to-Many_Relationship')","('Recursive_Relationship', 'Many-to-Many_Relationship')","('Supertype_Entity', 'Many-to-Many_Relationship')","('Subtype_Entity', 'Many-to-Many_Relationship')","('Disjoint_Rule', 'Many-to-Many_Relationship')","('Overlap_Rule', 'Many-to-Many_Relationship')","('Ternary_Relationship', 'Many-to-Many_Relationship')","('ACID', 'Many-to-Many_Relationship')"
Recursive_Relationship,"('Data', 'Recursive_Relationship')","('Database', 'Recursive_Relationship')","('RDBMS', 'Recursive_Relationship')","('Entity', 'Recursive_Relationship')","('Field', 'Recursive_Relationship')","('Record', 'Recursive_Relationship')","('Relationship', 'Recursive_Relationship')","('Primary_Key', 'Recursive_Relationship')","('Foreign_Key', 'Recursive_Relationship')","('ERD', 'Recursive_Relationship')","('Dependent_Table', 'Recursive_Relationship')","('Associative_Table', 'Recursive_Relationship')","('Entity_Integrity', 'Recursive_Relationship')","('Referential_Integrity', 'Recursive_Relationship')","('1NF', 'Recursive_Relationship')","('2NF', 'Recursive_Relationship')","('SQL', 'Recursive_Relationship')","('One-to-One_Relationship', 'Recursive_Relationship')","('One-to-Many_Relationship', 'Recursive_Relationship')","('Many-to-Many_Relationship', 'Recursive_Relationship')","('Recursive_Relationship', 'Recursive_Relationship')","('Supertype_Entity', 'Recursive_Relationship')","('Subtype_Entity', 'Recursive_Relationship')","('Disjoint_Rule', 'Recursive_Relationship')","('Overlap_Rule', 'Recursive_Relationship')","('Ternary_Relationship', 'Recursive_Relationship')","('ACID', 'Recursive_Relationship')"
Supertype_Entity,"('Data', 'Supertype_Entity')","('Database', 'Supertype_Entity')","('RDBMS', 'Supertype_Entity')","('Entity', 'Supertype_Entity')","('Field', 'Supertype_Entity')","('Record', 'Supertype_Entity')","('Relationship', 'Supertype_Entity')","('Primary_Key', 'Supertype_Entity')","('Foreign_Key', 'Supertype_Entity')","('ERD', 'Supertype_Entity')","('Dependent_Table', 'Supertype_Entity')","('Associative_Table', 'Supertype_Entity')","('Entity_Integrity', 'Supertype_Entity')","('Referential_Integrity', 'Supertype_Entity')","('1NF', 'Supertype_Entity')","('2NF', 'Supertype_Entity')","('SQL', 'Supertype_Entity')","('One-to-One_Relationship', 'Supertype_Entity')","('One-to-Many_Relationship', 'Supertype_Entity')","('Many-to-Many_Relationship', 'Supertype_Entity')","('Recursive_Relationship', 'Supertype_Entity')","('Supertype_Entity', 'Supertype_Entity')","('Subtype_Entity', 'Supertype_Entity')","('Disjoint_Rule', 'Supertype_Entity')","('Overlap_Rule', 'Supertype_Entity')","('Ternary_Relationship', 'Supertype_Entity')","('ACID', 'Supertype_Entity')"
Subtype_Entity,"('Data', 'Subtype_Entity')","('Database', 'Subtype_Entity')","('RDBMS', 'Subtype_Entity')","('Entity', 'Subtype_Entity')","('Field', 'Subtype_Entity')","('Record', 'Subtype_Entity')","('Relationship', 'Subtype_Entity')","('Primary_Key', 'Subtype_Entity')","('Foreign_Key', 'Subtype_Entity')","('ERD', 'Subtype_Entity')","('Dependent_Table', 'Subtype_Entity')","('Associative_Table', 'Subtype_Entity')","('Entity_Integrity', 'Subtype_Entity')","('Referential_Integrity', 'Subtype_Entity')","('1NF', 'Subtype_Entity')","('2NF', 'Subtype_Entity')","('SQL', 'Subtype_Entity')","('One-to-One_Relationship', 'Subtype_Entity')","('One-to-Many_Relationship', 'Subtype_Entity')","('Many-to-Many_Relationship', 'Subtype_Entity')","('Recursive_Relationship', 'Subtype_Entity')","('Supertype_Entity', 'Subtype_Entity')","('Subtype_Entity', 'Subtype_Entity')","('Disjoint_Rule', 'Subtype_Entity')","('Overlap_Rule', 'Subtype_Entity')","('Ternary_Relationship', 'Subtype_Entity')","('ACID', 'Subtype_Entity')"
Disjoint_Rule,"('Data', 'Disjoint_Rule')","('Database', 'Disjoint_Rule')","('RDBMS', 'Disjoint_Rule')","('Entity', 'Disjoint_Rule')","('Field', 'Disjoint_Rule')","('Record', 'Disjoint_Rule')","('Relationship', 'Disjoint_Rule')","('Primary_Key', 'Disjoint_Rule')","('Foreign_Key', 'Disjoint_Rule')","('ERD', 'Disjoint_Rule')","('Dependent_Table', 'Disjoint_Rule')","('Associative_Table', 'Disjoint_Rule')","('Entity_Integrity', 'Disjoint_Rule')","('Referential_Integrity', 'Disjoint_Rule')","('1NF', 'Disjoint_Rule')","('2NF', 'Disjoint_Rule')","('SQL', 'Disjoint_Rule')","('One-to-One_Relationship', 'Disjoint_Rule')","('One-to-Many_Relationship', 'Disjoint_Rule')","('Many-to-Many_Relationship', 'Disjoint_Rule')","('Recursive_Relationship', 'Disjoint_Rule')","('Supertype_Entity', 'Disjoint_Rule')","('Subtype_Entity', 'Disjoint_Rule')","('Disjoint_Rule', 'Disjoint_Rule')","('Overlap_Rule', 'Disjoint_Rule')","('Ternary_Relationship', 'Disjoint_Rule')","('ACID', 'Disjoint_Rule')"
Overlap_Rule,"('Data', 'Overlap_Rule')","('Database', 'Overlap_Rule')","('RDBMS', 'Overlap_Rule')","('Entity', 'Overlap_Rule')","('Field', 'Overlap_Rule')","('Record', 'Overlap_Rule')","('Relationship', 'Overlap_Rule')","('Primary_Key', 'Overlap_Rule')","('Foreign_Key', 'Overlap_Rule')","('ERD', 'Overlap_Rule')","('Dependent_Table', 'Overlap_Rule')","('Associative_Table', 'Overlap_Rule')","('Entity_Integrity', 'Overlap_Rule')","('Referential_Integrity', 'Overlap_Rule')","('1NF', 'Overlap_Rule')","('2NF', 'Overlap_Rule')","('SQL', 'Overlap_Rule')","('One-to-One_Relationship', 'Overlap_Rule')","('One-to-Many_Relationship', 'Overlap_Rule')","('Many-to-Many_Relationship', 'Overlap_Rule')","('Recursive_Relationship', 'Overlap_Rule')","('Supertype_Entity', 'Overlap_Rule')","('Subtype_Entity', 'Overlap_Rule')","('Disjoint_Rule', 'Overlap_Rule')","('Overlap_Rule', 'Overlap_Rule')","('Ternary_Relationship', 'Overlap_Rule')","('ACID', 'Overlap_Rule')"
Ternary_Relationship,"('Data', 'Ternary_Relationship')","('Database', 'Ternary_Relationship')","('RDBMS', 'Ternary_Relationship')","('Entity', 'Ternary_Relationship')","('Field', 'Ternary_Relationship')","('Record', 'Ternary_Relationship')","('Relationship', 'Ternary_Relationship')","('Primary_Key', 'Ternary_Relationship')","('Foreign_Key', 'Ternary_Relationship')","('ERD', 'Ternary_Relationship')","('Dependent_Table', 'Ternary_Relationship')","('Associative_Table', 'Ternary_Relationship')","('Entity_Integrity', 'Ternary_Relationship')","('Referential_Integrity', 'Ternary_Relationship')","('1NF', 'Ternary_Relationship')","('2NF', 'Ternary_Relationship')","('SQL', 'Ternary_Relationship')","('One-to-One_Relationship', 'Ternary_Relationship')","('One-to-Many_Relationship', 'Ternary_Relationship')","('Many-to-Many_Relationship', 'Ternary_Relationship')","('Recursive_Relationship', 'Ternary_Relationship')","('Supertype_Entity', 'Ternary_Relationship')","('Subtype_Entity', 'Ternary_Relationship')","('Disjoint_Rule', 'Ternary_Relationship')","('Overlap_Rule', 'Ternary_Relationship')","('Ternary_Relationship', 'Ternary_Relationship')","('ACID', 'Ternary_Relationship')"
ACID,"('Data', 'ACID')","('Database', 'ACID')","('RDBMS', 'ACID')","('Entity', 'ACID')","('Field', 'ACID')","('Record', 'ACID')","('Relationship', 'ACID')","('Primary_Key', 'ACID')","('Foreign_Key', 'ACID')","('ERD', 'ACID')","('Dependent_Table', 'ACID')","('Associative_Table', 'ACID')","('Entity_Integrity', 'ACID')","('Referential_Integrity', 'ACID')","('1NF', 'ACID')","('2NF', 'ACID')","('SQL', 'ACID')","('One-to-One_Relationship', 'ACID')","('One-to-Many_Relationship', 'ACID')","('Many-to-Many_Relationship', 'ACID')","('Recursive_Relationship', 'ACID')","('Supertype_Entity', 'ACID')","('Subtype_Entity', 'ACID')","('Disjoint_Rule', 'ACID')","('Overlap_Rule', 'ACID')","('Ternary_Relationship', 'ACID')","('ACID', 'ACID')"
